network,measure,n,r_group,ci_low,ci_high,t,p,p_moran,q_moran,p_topo,q_topo
Cont,GD,19,0.40827440662211534,0.4042077296527906,0.41232494273050835,187.01084139366628,4.67966566450668e-31,0.0979020979020979,0.13986013986013987,,
SalVentAttn,GD,19,0.3075383693369193,0.3035634496239158,0.3115025845906003,152.30076546480637,1.8802242082658457e-29,0.001998001998001998,0.013986013986013986,,
Default,GD,19,0.21947835197274507,0.21589746813444316,0.22305333208086464,124.69535895889996,6.856875815710382e-28,0.0999000999000999,0.13986013986013987,,
DorsAttn,GD,19,0.3749151622646985,0.36579124639686866,0.3839670226134331,78.30543806872564,2.9281177341162325e-24,0.008991008991008992,0.03146853146853147,,
Vis,GD,19,-0.15134037683316692,-0.16191280562910446,-0.14073320868199485,-29.56293508521072,1.038887659031386e-16,0.08191808191808192,0.13986013986013987,,
SomMot,GD,19,-0.09421151505380253,-0.1020100162776178,-0.08640143479012034,-25.2109782571854,1.7116289194424003e-15,0.3906093906093906,0.4557109557109557,,
Limbic,GD,19,-0.001275151713630027,-0.004811486896656214,0.002261215362979862,-0.7575549400429135,0.4585208198495655,0.991008991008991,0.991008991008991,,
