network,measure,n,r_group,ci_low,ci_high,t,p,p_moran,q_moran
Cont,FC,17,-0.0015513146073203815,-0.056194340233877045,0.05310097662964024,-0.06011892516411824,0.952805439759452,0.971,0.971
SalVentAttn,FC,17,0.12790230402596997,0.09896184161659442,0.15662658105894917,9.298608441633068,7.481424488569752e-08,0.035,0.08575
DorsAttn,FC,17,0.15636871021330587,0.12379056870348651,0.18861012987168654,10.05700937144069,2.5378122453474864e-08,0.037,0.08575
Default,FC,17,-0.09272986802060575,-0.12029404360992811,-0.0650228242857319,-7.070600982869158,2.6479470372647604e-06,0.067,0.09380000000000001
Vis,FC,17,-0.09154288101319887,-0.15701918611309088,-0.025265340968194102,-2.925139039401135,0.00990985968611667,0.049,0.08575
Limbic,FC,17,-0.025376486618450805,-0.047933232130415365,-0.0027938713747374874,-2.3821128042776136,0.02996621212260679,0.539,0.6288333333333334
SomMot,FC,17,-0.09131629687782836,-0.15975170769355687,-0.022007341348282364,-2.790702877968993,0.013089942723881766,0.047,0.08575
