subject,Cont,SalVentAttn,DorsAttn,Default,SomMot,Limbic,Vis
PNC009,0.44746817167607295,0.26050270747040627,0.2999809531437998,0.08964077214258086,0.0516580972661978,-0.06256644148005899,-0.07305122162781952
PNC018,0.4830276511355455,0.283563735567694,0.2039049202845455,0.14239322168645233,0.01620848707034344,-0.009663362211149497,-0.15956604477138867
PNC019,0.47962557018223945,0.30026139129497326,0.23234139615980756,0.05869771953623184,0.06544849179578516,-0.061670550245646515,-0.0881929355646368
PNC022,0.4836142483749354,0.24787415822493375,0.14376928719308676,0.13319705355533487,0.025553567350602307,-0.06327154034464551,-0.08282049301335531
PNC024,0.4091552422191305,0.21867928076742207,0.213823099352145,0.07569465607349486,0.030220902258040493,-0.030863661577792252,-0.21955236918902318
PNC025,0.46334369407012493,0.27304858853786634,0.13485743685135526,0.09740656886551684,-0.05913437208779857,-0.006774224267959569,-0.20387087873364695
PNC026,0.45323889524309524,0.2866358176677371,0.24166813160973918,0.12443466050168951,-0.020507688699226607,-0.011502307787868265,-0.17154909534941556
PNC029,0.4723302746557034,0.24429379035045667,0.21767871361953992,0.053038815443217736,0.005500251800284454,-0.061106660563057885,-0.05854345838912348
PNC030,0.47394894878694566,0.25502462698994494,0.13967638748432065,0.0013502629549282672,0.006549849225146854,0.010861942999359733,-0.20359832228974262
PNC037,0.4398497234089659,0.24988415558141835,0.26884828021396673,0.06953533747237806,0.03001019173968139,-0.04015393782355096,-0.13398459965757784
PNC038,0.4491433051351113,0.23445153448569037,0.30127171424677124,0.16763347361957995,0.04347944236236707,0.05238149638103943,-0.19692263843306884
PNC039,0.4354654452798925,0.22036481026887578,0.21965446482855833,0.1034576023168751,0.06974813441614047,-0.07507332901583705,-0.2582392711320822
PNC040,0.46550653700046146,0.21498766240714384,0.22995712861457185,0.1423031390692106,0.01419851697074368,-0.052584429769990594,-0.05036633391428478
PNC041,0.45463098433983196,0.200524677847587,0.2526647606625449,0.03378225179161014,-0.019624224829909567,-0.027074463402933617,-0.2564281644637705
PNC046,0.4406402526788428,0.3027494907837777,0.21214480120081777,0.16603838741036142,0.011419561921370922,-0.011085741692747009,-0.1985049904951338
PNC047,0.43439100227536864,0.2645923160196306,0.21865978329583455,0.04645257415422027,0.06113642348756026,-0.033623579867858966,-0.24467458731584646
PNC048,0.4384709025609782,0.24553551973960194,0.22855460932241914,0.045531389593623274,0.0316540642167387,-0.05184075030220436,-0.169308371166126
PNC049,0.38129986159623513,0.25115934202268175,0.16467764786315134,0.022322830898537118,0.044748354759464794,-0.05676699360528878,-0.1776076455482882
PNC050,0.4630784489973034,0.29394252650924646,0.3003216759651254,0.034233431587432375,0.09723006659667259,0.02073017461089988,-0.1275536715245366
