roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z,network,hemisphere,network_int,bigbrain_g2,bigbrain_g2_network,t1_gradient1_Limbic,quantile_idx,Limbic_diff,t1_gradient1_Default,Default_diff,t1_gradient1_Cont,Cont_diff,t1_gradient1_SalVentAttn,SalVentAttn_diff,t1_gradient1_DorsAttn,DorsAttn_diff,t1_gradient1_Vis,Vis_diff,t1_gradient1_SomMot,SomMot_diff
20,1019,7Networks_LH_Vis_19,120.0,18.0,139.0,0.0,-24.0,-96.0,6.0,Vis,LH,6.0,0.24299004673957825,0.1346319546831436,,,0.114748195,,-1.5898253,,0.15945253,,-0.9818938,,-2.0087519,0.6882107962930638,,,-0.7370021
21,1020,7Networks_LH_Vis_20,120.0,18.0,140.0,0.0,-13.0,-49.0,4.0,Vis,LH,6.0,-0.16695456206798553,0.1346319546831436,,,0.023256665,,1.9098665,,0.7596129,,0.45429474,,-0.019388173,-0.22663191166374477,,,0.105892435
22,1021,7Networks_LH_Vis_21,120.0,18.0,141.0,0.0,-7.0,-74.0,9.0,Vis,LH,6.0,0.3212836682796478,0.1346319546831436,,,0.5460587,,-0.94131416,,0.10578381,,-1.0768821,,-1.4103165,-0.9821517219512464,,,-0.7391872
23,1022,7Networks_LH_Vis_22,120.0,19.0,134.0,0.0,-19.0,-65.0,7.0,Vis,LH,6.0,0.2686897814273834,0.1346319546831436,,,1.144884,,-0.2024075,,1.0455998,,-0.78919303,,-0.91554135,-0.65276401772496,,,-0.5738029
24,1023,7Networks_LH_Vis_23,120.0,19.0,135.0,0.0,-39.0,-84.0,14.0,Vis,LH,6.0,0.11102263629436493,0.1346319546831436,,,-0.17292626,,-0.9848961,,1.0945532,,-0.4399971,,-1.2097181,0.8294063547026851,,,-0.85719
25,1024,7Networks_LH_Vis_24,120.0,19.0,136.0,0.0,-11.0,-97.0,17.0,Vis,LH,6.0,0.42624396085739136,0.1346319546831436,,,0.38521108,,-0.94892615,,0.50529253,,-0.7329886,,-1.260861,0.10714019992289017,,,-0.8111186
26,1025,7Networks_LH_Vis_25,120.0,19.0,137.0,0.0,-3.0,-84.0,24.0,Vis,LH,6.0,0.2857198715209961,0.1346319546831436,,,0.85501176,,-0.6201895,,0.82801914,,-0.9410375,,-0.10129936,-0.3575592882191677,,,-0.7721098
27,1026,7Networks_LH_Vis_26,120.0,19.0,138.0,0.0,-12.0,-71.0,20.0,Vis,LH,6.0,0.35147255659103394,0.1346319546831436,,,0.9806619,,0.29811037,,0.8796881,,-0.83829457,,-0.50341827,-0.8652579101723286,,,-0.3951135
28,1027,7Networks_LH_Vis_27,120.0,19.0,139.0,0.0,-25.0,-85.0,21.0,Vis,LH,6.0,0.11309153586626053,0.1346319546831436,,,0.29161403,,-0.69156545,,1.1265591,,-0.75424576,,-1.0958734,0.5857272461390371,,,-0.8763173
29,1028,7Networks_LH_Vis_28,120.0,19.0,140.0,0.0,-32.0,-84.0,27.0,Vis,LH,6.0,0.07001736760139465,0.1346319546831436,,,0.15888782,,-0.45000476,,1.595814,,-0.1100276,,-1.0118339,-1.3077785108717666,,,-0.6566738
