roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z,network,hemisphere,network_int,bigbrain_g2,bigbrain_g2_network,t1_gradient1_Limbic,quantile_idx,Limbic_diff,t1_gradient1_Default,Default_diff,t1_gradient1_Cont,Cont_diff,t1_gradient1_SalVentAttn,SalVentAttn_diff,t1_gradient1_DorsAttn,DorsAttn_diff,t1_gradient1_Vis,Vis_diff,t1_gradient1_SomMot,SomMot_diff
88,1087,7Networks_LH_DorsAttn_FEF_2,0.0,119.0,17.0,0.0,-25.0,-1.0,55.0,DorsAttn,LH,2.0,0.281547486782074,0.11041316195674565,,,-0.3047622,,0.8464363,,0.0086079575,,1.6165711,-0.2534762524534682,,,1.4457458,,0.755242
89,1088,7Networks_LH_DorsAttn_FEF_3,0.0,119.0,18.0,0.0,-30.0,-8.0,52.0,DorsAttn,LH,2.0,0.3350619673728943,0.11041316195674565,,,-0.4917491,,0.78370476,,0.04221322,,1.7049849,0.2320783535541212,,,0.85363567,,1.1489261
90,1089,7Networks_LH_DorsAttn_FEF_4,0.0,119.0,19.0,0.0,-21.0,5.0,65.0,DorsAttn,LH,2.0,0.21587377786636353,0.11041316195674565,,,-0.31757995,,1.4475013,,-0.40782216,,1.5393482,-0.3446656922584027,,,0.29496184,,1.2030236
91,1090,7Networks_LH_DorsAttn_PrCv_1,0.0,119.0,20.0,0.0,-49.0,6.0,26.0,DorsAttn,LH,2.0,0.15063199400901794,0.11041316195674565,,,0.051849682,,-0.6264504,,-0.64511645,,1.3776307,0.13429347375157327,,,1.6314871,,-0.356133
92,1091,7Networks_LH_DorsAttn_PrCv_2,0.0,119.0,21.0,0.0,-50.0,3.0,38.0,DorsAttn,LH,2.0,0.04345226287841797,0.11041316195674565,,,0.598386,,-1.1464528,,-0.60440284,,1.2223865,0.5898509336223131,,,1.1522288,,-0.10408729
93,1092,7Networks_LH_SalVentAttn_ParOper_1,196.0,58.0,251.0,0.0,-55.0,-32.0,22.0,SalVentAttn,LH,4.0,0.03683041036128998,-0.04219346203435054,,,0.5679464,,-1.6584033,,0.46264,0.2057801011316954,,,0.5462319,,0.3905326,,-1.4377663
94,1093,7Networks_LH_SalVentAttn_ParOper_2,196.0,58.0,252.0,0.0,-58.0,-44.0,27.0,SalVentAttn,LH,4.0,0.07974980771541595,-0.04219346203435054,,,-0.19188213,,-2.1140852,,0.49062237,0.2879743945914038,,,0.7921001,,0.7248064,,-2.2023342
95,1094,7Networks_LH_SalVentAttn_ParOper_3,196.0,58.0,253.0,0.0,-61.0,-23.0,33.0,SalVentAttn,LH,4.0,-0.2625584304332733,-0.04219346203435054,,,0.58660084,,-1.3425049,,0.5446413,-0.2334058339652821,,,0.0024354928,,0.53443986,,-0.84719133
96,1095,7Networks_LH_SalVentAttn_ParOper_4,196.0,58.0,254.0,0.0,-61.0,-36.0,33.0,SalVentAttn,LH,4.0,-0.2742062211036682,-0.04219346203435054,,,0.16682522,,-1.5724876,,0.68211544,-0.5193428424375099,,,0.5186784,,0.58587164,,-1.2794783
97,1096,7Networks_LH_SalVentAttn_TempOcc_1,196.0,58.0,255.0,0.0,-57.0,-54.0,10.0,SalVentAttn,LH,4.0,0.04797575622797012,-0.04219346203435054,,,-0.18829504,,-3.001139,,-0.0237316,-0.5505544426262096,,,-1.1390412,,3.1290812,,-2.0664434
98,1097,7Networks_LH_SalVentAttn_FrOperIns_1,196.0,59.0,247.0,0.0,-44.0,5.0,-17.0,SalVentAttn,LH,4.0,-0.4031611382961273,-0.04219346203435054,,,-1.2221293,,-1.5695539,,0.20466614,0.5723511808496079,,,0.035052735,,-0.17199086,,-1.7520858
99,1098,7Networks_LH_SalVentAttn_FrOperIns_2,196.0,59.0,248.0,0.0,-39.0,2.0,-4.0,SalVentAttn,LH,4.0,-0.22801704704761505,-0.04219346203435054,,,-1.9741083,,0.029722534,,-0.62485695,-0.7899350844617774,,,-0.17785035,,-0.24822983,,0.0519451
100,1099,7Networks_LH_SalVentAttn_FrOperIns_3,196.0,59.0,249.0,0.0,-33.0,25.0,-1.0,SalVentAttn,LH,4.0,0.1251891404390335,-0.04219346203435054,,,-0.50201744,,-0.9469923,,-1.3012027,-0.5732887772797239,,,-1.1413885,,1.3479916,,-1.0561309
101,1100,7Networks_LH_SalVentAttn_FrOperIns_4,196.0,59.0,251.0,0.0,-40.0,-15.0,-2.0,SalVentAttn,LH,4.0,-0.3247297406196594,-0.04219346203435054,,,-0.5838725,,-0.3189652,,1.2575321,-0.6494431993383913,,,0.5557319,,-0.773724,,-0.44095147
102,1101,7Networks_LH_SalVentAttn_FrOperIns_5,196.0,59.0,252.0,0.0,-33.0,19.0,8.0,SalVentAttn,LH,4.0,0.05162625387310982,-0.04219346203435054,,,-0.9454768,,-1.1513652,,-1.044847,-0.18772277842627352,,,-0.92088586,,0.86115,,-0.9228269
103,1102,7Networks_LH_SalVentAttn_FrOperIns_6,196.0,59.0,253.0,0.0,-36.0,4.0,11.0,SalVentAttn,LH,4.0,-0.007432239595800638,-0.04219346203435054,,,-0.63055897,,-0.35479873,,-0.7004563,-0.2303641772480506,,,-0.7450042,,0.5392031,,-1.2408508
104,1103,7Networks_LH_SalVentAttn_FrOperIns_7,196.0,59.0,254.0,0.0,-43.0,12.0,2.0,SalVentAttn,LH,4.0,0.001536352327093482,-0.04219346203435054,,,-0.14969075,,-0.1148902,,-1.1109549,0.8533433720194309,,,-0.95529073,,1.330703,,-0.71961874
105,1104,7Networks_LH_SalVentAttn_FrOperIns_8,196.0,59.0,255.0,0.0,-50.0,1.0,5.0,SalVentAttn,LH,4.0,0.037140484899282455,-0.04219346203435054,,,0.24444483,,-0.5560504,,-0.4610605,0.7889482031016252,,,-0.9044088,,1.1881149,,-0.85005474
106,1105,7Networks_LH_SalVentAttn_FrOperIns_9,193.0,52.0,250.0,0.0,-52.0,9.0,13.0,SalVentAttn,LH,4.0,0.010251273401081562,-0.04219346203435054,,,-0.62009,,-0.8285554,,-0.78749555,-0.4165845525537428,,,-1.0885929,,1.0792469,,-0.56588995
107,1106,7Networks_LH_SalVentAttn_PFCl_1,193.0,52.0,249.0,0.0,-29.0,43.0,30.0,SalVentAttn,LH,4.0,-0.19648970663547516,-0.04219346203435054,,,-0.72370917,,-0.3392696,,-1.445029,0.10573246329825185,,,-0.54942334,,0.49336648,,0.4068754
108,1107,7Networks_LH_SalVentAttn_Med_1,197.0,58.0,248.0,0.0,-6.0,22.0,31.0,SalVentAttn,LH,4.0,-0.03814470395445824,-0.04219346203435054,,,-2.0580053,,2.2606502,,-1.1072704,-0.38630663389729514,,,-0.19974537,,-0.086531065,,0.7821002
109,1108,7Networks_LH_SalVentAttn_Med_2,197.0,58.0,249.0,0.0,-7.0,0.0,41.0,SalVentAttn,LH,4.0,-0.17559735476970673,-0.04219346203435054,,,-1.2283311,,2.8994036,,-0.64268845,0.12949066923558214,,,0.3924979,,0.012962372,,2.0250747
110,1109,7Networks_LH_SalVentAttn_Med_3,197.0,58.0,251.0,0.0,-11.0,-27.0,41.0,SalVentAttn,LH,4.0,0.0010879372712224722,-0.04219346203435054,,,-1.3674806,,2.867064,,-0.2629489,0.1731845600587708,,,1.1102453,,0.18309538,,2.918052
111,1110,7Networks_LH_SalVentAttn_Med_4,197.0,58.0,252.0,0.0,-5.0,9.0,48.0,SalVentAttn,LH,4.0,0.08594565838575363,-0.04219346203435054,,,-0.9529311,,2.6064672,,-1.1644816,1.0870459774311534,,,0.3260247,,0.06758124,,1.3903737
112,1111,7Networks_LH_SalVentAttn_Med_5,197.0,58.0,253.0,0.0,-13.0,-41.0,47.0,SalVentAttn,LH,4.0,-0.07349365204572678,-0.04219346203435054,,,-0.6084657,,2.2336943,,0.38608962,0.6660726845921928,,,1.8231397,,-0.17647938,,1.8644292
113,1112,7Networks_LH_SalVentAttn_Med_6,197.0,58.0,254.0,0.0,-6.0,-49.0,57.0,SalVentAttn,LH,4.0,-0.1656918078660965,-0.04219346203435054,,,0.05442089,,1.5491774,,1.1436597,1.9772702852174195,,,1.5265112,,0.01604976,,1.5083151
114,1113,7Networks_LH_SalVentAttn_Med_7,197.0,58.0,255.0,0.0,-8.0,-3.0,71.0,SalVentAttn,LH,4.0,0.23002676665782928,-0.04219346203435054,,,-0.3426087,,1.4230508,,-0.36799008,1.2413844292521232,,,0.4358303,,0.5415625,,1.7955086
115,1114,7Networks_LH_Limbic_OFC_1,220.0,248.0,163.0,0.0,-12.0,25.0,-21.0,Limbic,LH,3.0,-0.36316847801208496,-0.31453387453578985,0.016808326278483256,,,,-0.8556424,,-1.8299941,,-0.59426594,,-0.82377243,,0.63492507,,-0.39703107
116,1115,7Networks_LH_Limbic_OFC_2,220.0,248.0,165.0,0.0,-24.0,23.0,-20.0,Limbic,LH,3.0,-0.0338740237057209,-0.31453387453578985,-0.3463725667276224,,,,-0.4304895,,-1.8023683,,-0.27268174,,-0.4354231,,0.6911634,,-0.62202203
117,1116,7Networks_LH_Limbic_OFC_3,220.0,248.0,166.0,0.0,-10.0,47.0,-21.0,Limbic,LH,3.0,-0.307743102312088,-0.31453387453578985,-0.034826000695219884,,,,-0.56637496,,-2.102795,,-0.5950634,,-0.47249672,,0.54306746,,-0.521425
118,1117,7Networks_LH_Limbic_OFC_4,220.0,248.0,167.0,0.0,-4.0,23.0,-19.0,Limbic,LH,3.0,-0.40000927448272705,-0.31453387453578985,-0.15268254977006712,,,,-0.4180704,,-1.6834899,,0.007706641,,-0.56968373,,0.62947124,,-0.016782189
119,1118,7Networks_LH_Limbic_OFC_5,220.0,248.0,168.0,0.0,-15.0,65.0,-8.0,Limbic,LH,3.0,-0.16315583884716034,-0.31453387453578985,-0.14796581670044723,,,,-0.16559546,,-2.2963762,,-0.0839625,,-0.29641008,,1.0499421,,-0.2915402
120,1119,7Networks_LH_Limbic_TempPole_1,220.0,248.0,164.0,0.0,-37.0,-5.0,-42.0,Limbic,LH,3.0,-0.36441418528556824,-0.31453387453578985,0.019494840632567647,,,,-1.5820885,,0.17760383,,-0.4634458,,-0.20205475,,0.43938217,,-1.2179195
121,1120,7Networks_LH_Limbic_TempPole_2,220.0,248.0,169.0,0.0,-25.0,6.0,-39.0,Limbic,LH,3.0,-0.35739800333976746,-0.31453387453578985,0.1303594864991109,,,,-0.27208638,,-0.327001,,-0.9872391,,-0.6553549,,0.5109283,,-0.6336349
122,1121,7Networks_LH_Limbic_TempPole_3,220.0,248.0,170.0,0.0,-26.0,-9.0,-33.0,Limbic,LH,3.0,-0.34582072496414185,-0.31453387453578985,0.009430573614228213,,,,-0.41589764,,-0.31024498,,-1.2262899,,-1.3844458,,0.53547835,,-0.5803825
123,1122,7Networks_LH_Limbic_TempPole_4,220.0,248.0,171.0,0.0,-54.0,-21.0,-31.0,Limbic,LH,3.0,-0.10103917121887207,-0.31453387453578985,0.2517731190211747,,,,-1.7757723,,0.43677354,,-0.19596241,,-0.13497612,,0.35162008,,-1.5902053
124,1123,7Networks_LH_Limbic_TempPole_5,220.0,248.0,172.0,0.0,-40.0,-21.0,-27.0,Limbic,LH,3.0,-0.36125534772872925,-0.31453387453578985,-0.8726166313651255,,,,-1.3031529,,0.13382345,,-0.7663252,,-1.3928316,,1.3935242,,-1.410959
125,1124,7Networks_LH_Limbic_TempPole_6,220.0,249.0,165.0,0.0,-44.0,13.0,-34.0,Limbic,LH,3.0,-0.3273109197616577,-0.31453387453578985,0.7274369365057748,,,,-1.5881625,,-0.18429565,,-0.040296096,,0.09350888,,0.1826953,,-0.8905734
126,1125,7Networks_LH_Limbic_TempPole_7,220.0,249.0,166.0,0.0,-32.0,12.0,-29.0,Limbic,LH,3.0,-0.4266209900379181,-0.31453387453578985,-0.17893154558364555,,,,-0.71207225,,-0.6576958,,-1.0378993,,-0.37866813,,0.8546572,,-1.0625254
127,1126,7Networks_LH_Limbic_TempPole_8,220.0,249.0,167.0,0.0,-21.0,-21.0,-26.0,Limbic,LH,3.0,-0.2433929592370987,-0.31453387453578985,0.5276975005157312,,,,0.9595549,,0.6980951,,0.5090778,,-0.20168462,,-0.67635566,,0.30441463
128,1127,7Networks_LH_Cont_Par_1,230.0,148.0,33.0,0.0,-29.0,-74.0,42.0,Cont,LH,0.0,0.13694985210895538,0.011534729439657755,,,0.2622964,,-0.48425484,1.9950465267511117,,,0.0884361,,-0.38209593,,0.14862981,,-0.73013544
129,1128,7Networks_LH_Cont_Par_2,230.0,148.0,35.0,0.0,-58.0,-42.0,45.0,Cont,LH,0.0,-0.22936269640922546,0.011534729439657755,,,0.24719179,,-1.319615,-0.33604493936747554,,,0.496362,,0.4002156,,0.1143154,,-1.5050025
130,1129,7Networks_LH_Cont_Par_3,230.0,148.0,36.0,0.0,-53.0,-50.0,45.0,Cont,LH,0.0,0.0368688590824604,0.011534729439657755,,,0.40764406,,-1.5095854,-0.2922323327695509,,,0.34013078,,0.15952967,,0.3806318,,-1.2400244
131,1130,7Networks_LH_Cont_Par_4,230.0,148.0,37.0,0.0,-35.0,-62.0,48.0,Cont,LH,0.0,0.016208898276090622,0.011534729439657755,,,0.41905126,,-0.66207254,0.5501040589050586,,,0.4470951,,0.21964286,,0.38498875,,-0.90551686
132,1131,7Networks_LH_Cont_Par_5,230.0,148.0,38.0,0.0,-42.0,-52.0,49.0,Cont,LH,0.0,0.17080499231815338,0.011534729439657755,,,0.6546492,,-1.0533453,1.3083000483616378,,,-0.42821288,,0.0060326317,,1.1193018,,-1.0403562
133,1132,7Networks_LH_Cont_Par_6,230.0,148.0,39.0,0.0,-45.0,-41.0,47.0,Cont,LH,0.0,0.1094701811671257,0.011534729439657755,,,0.46903336,,-0.7369318,1.5013838207976031,,,0.42810646,,0.09864361,,0.9667668,,-0.69809145
134,1133,7Networks_LH_Cont_Temp_1,230.0,148.0,40.0,0.0,-60.0,-49.0,-10.0,Cont,LH,0.0,-0.14079423248767853,0.011534729439657755,,,-0.18871997,,-2.3598406,-0.7872305359145706,,,-0.08849733,,-1.0096536,,1.24705,,-1.920501
135,1134,7Networks_LH_Cont_OFC_1,230.0,149.0,32.0,0.0,-27.0,49.0,-14.0,Cont,LH,0.0,-0.20842458307743073,0.011534729439657755,,,-3.078766,,-1.118965,-0.25293005115556394,,,-0.41881832,,-0.387548,,0.55658925,,-0.5911285
136,1135,7Networks_LH_Cont_PFCl_1,230.0,149.0,33.0,0.0,-42.0,49.0,-6.0,Cont,LH,0.0,0.012742920778691769,0.011534729439657755,,,-2.3871264,,-1.0268636,-0.5786484881466762,,,-0.03388406,,-0.5249344,,0.29060012,,-0.21527469
137,1136,7Networks_LH_Cont_PFCl_2,230.0,149.0,34.0,0.0,-48.0,35.0,10.0,Cont,LH,0.0,-0.11196345835924149,0.011534729439657755,,,-0.97328746,,-1.0833566,-0.30223253409003076,,,-0.2547577,,-0.9326875,,1.4202231,,-0.3013439
138,1137,7Networks_LH_Cont_PFCl_3,230.0,149.0,36.0,0.0,-38.0,49.0,11.0,Cont,LH,0.0,0.11473522335290909,0.011534729439657755,,,-1.4104674,,-1.1605994,-0.45502351226937626,,,-0.22735207,,-0.8667725,,1.0288296,,-0.28746256
139,1138,7Networks_LH_Cont_PFCl_4,230.0,149.0,37.0,0.0,-28.0,57.0,13.0,Cont,LH,0.0,-0.08986429870128632,0.011534729439657755,,,-1.2393485,,-0.04516496,-0.06517250211608128,,,0.2862418,,-0.34658918,,0.61242706,,0.48022375
140,1139,7Networks_LH_Cont_PFCl_5,230.0,149.0,38.0,0.0,-42.0,38.0,22.0,Cont,LH,0.0,-0.09072209149599075,0.011534729439657755,,,-0.9502837,,-1.1961097,-0.3781274609640284,,,-0.3966383,,-1.0385736,,1.2897487,,-0.13609028
141,1140,7Networks_LH_Cont_PFCl_6,230.0,149.0,39.0,0.0,-45.0,20.0,27.0,Cont,LH,0.0,0.06723012030124664,0.011534729439657755,,,-0.7484819,,-0.849607,-0.021148554681697667,,,0.109260716,,-1.1585135,,2.3683167,,0.026344936
142,1141,7Networks_LH_Cont_PFCl_7,230.0,149.0,40.0,0.0,-39.0,7.0,34.0,Cont,LH,0.0,0.11155667155981064,0.011534729439657755,,,0.0871199,,-1.1506282,-0.5572637450347229,,,0.42519206,,-1.4740833,,1.4087723,,-0.88050634
143,1142,7Networks_LH_Cont_PFCl_8,230.0,149.0,41.0,0.0,-36.0,32.0,38.0,Cont,LH,0.0,-0.12014047056436539,0.011534729439657755,,,-0.9019177,,-0.20738368,-0.15547689455852715,,,0.090997934,,-0.95252526,,0.89060485,,0.3097312
144,1143,7Networks_LH_Cont_PFCv_1,231.0,148.0,36.0,0.0,-34.0,16.0,-8.0,Cont,LH,0.0,-0.09430821239948273,0.011534729439657755,,,-2.1830962,,-0.30994138,-0.8540135090198272,,,0.13591892,,-0.44922206,,1.5084337,,-0.47475916
145,1144,7Networks_LH_Cont_pCun_1,231.0,149.0,35.0,0.0,-9.0,-77.0,45.0,Cont,LH,0.0,0.11036863178014755,0.011534729439657755,,,0.76740104,,1.2827355,1.129420279368756,,,1.0534911,,0.9864828,,-1.2292949,,0.5260136
146,1145,7Networks_LH_Cont_pCun_2,231.0,149.0,36.0,0.0,-5.0,-64.0,52.0,Cont,LH,0.0,0.051880136132240295,0.011534729439657755,,,0.35967895,,1.6893704,1.4902598086278558,,,1.7371957,,1.7442213,,-0.1981654,,0.7381298
147,1146,7Networks_LH_Cont_Cing_1,231.0,149.0,37.0,0.0,-3.0,5.0,29.0,Cont,LH,0.0,0.050285693258047104,0.011534729439657755,,,-2.2577066,,2.8537793,-0.8807716212423589,,,2.1748052,,0.5485484,,-0.024150237,,1.4439851
148,1147,7Networks_LH_Cont_Cing_2,231.0,149.0,38.0,0.0,-4.0,-22.0,29.0,Cont,LH,0.0,0.16092941164970398,0.011534729439657755,,,-0.3726246,,1.7433008,-0.31990605526676075,,,2.097718,,1.5236793,,-0.28769362,,1.6906388
149,1148,7Networks_LH_Cont_PFCmp_1,230.0,148.0,34.0,0.0,-4.0,28.0,47.0,Cont,LH,0.0,0.048341721296310425,0.011534729439657755,,,-1.5429391,,1.677015,1.2734150823654395,,,0.99624574,,0.03784294,,0.071377486,,0.9630294
150,1149,7Networks_LH_Default_Temp_1,205.0,62.0,72.0,0.0,-54.0,-2.0,-30.0,Default,LH,1.0,-0.12766185402870178,-0.04205667899389352,,,-0.3846224,-0.5743840782877709,,,0.09289634,,-0.6175971,,0.18727869,,-0.10172684,,-1.394895
151,1150,7Networks_LH_Default_Temp_2,205.0,62.0,73.0,0.0,-62.0,-18.0,-21.0,Default,LH,1.0,-0.29093512892723083,-0.04205667899389352,,,-0.29339746,-0.39187229460036427,,,0.32180312,,-0.22797817,,0.35488483,,-0.14522502,,-1.7235439
152,1151,7Networks_LH_Default_Temp_3,205.0,62.0,74.0,0.0,-60.0,-36.0,-18.0,Default,LH,1.0,-0.10576146095991135,-0.04205667899389352,,,-0.25293297,-0.912331514669523,,,0.42817006,,-0.019807272,,-0.32596847,,0.2061765,,-1.8824576
153,1152,7Networks_LH_Default_Temp_4,205.0,62.0,75.0,0.0,-57.0,-9.0,-14.0,Default,LH,1.0,-0.15970942378044128,-0.04205667899389352,,,-0.3764741,-0.6882408808536462,,,0.41577256,,-0.25688103,,0.5935347,,-0.33539245,,-1.4618165
154,1153,7Networks_LH_Default_Temp_5,205.0,62.0,76.0,0.0,-53.0,6.0,-11.0,Default,LH,1.0,-0.24225439131259918,-0.04205667899389352,,,-0.37541124,-0.3791071337508226,,,0.904711,,0.17907897,,0.73324215,,-0.3536308,,-1.752146
155,1154,7Networks_LH_Default_Temp_6,205.0,62.0,77.0,0.0,-61.0,-35.0,-3.0,Default,LH,1.0,-0.08504654467105865,-0.04205667899389352,,,-0.34454945,-0.6657726584485746,,,0.24781835,,-0.2512127,,0.13298914,,0.16808952,,-2.0753222
156,1155,7Networks_LH_Default_Temp_7,205.0,62.0,78.0,0.0,-52.0,-22.0,-6.0,Default,LH,1.0,0.1739547997713089,-0.04205667899389352,,,0.009388576,-0.9850541323953126,,,0.443365,,-0.510579,,0.62306094,,0.094287634,,-2.2060876
157,1156,7Networks_LH_Default_Temp_8,205.0,62.0,80.0,0.0,-61.0,-13.0,-3.0,Default,LH,1.0,0.06623238325119019,-0.04205667899389352,,,0.056956597,-0.06470144180165902,,,0.9848148,,0.12466339,,0.88059026,,-0.36838475,,-2.1182942
158,1157,7Networks_LH_Default_Temp_9,205.0,62.0,81.0,0.0,-62.0,-32.0,5.0,Default,LH,1.0,0.216086745262146,-0.04205667899389352,,,-0.4084165,0.19630478491793463,,,0.5624787,,-0.078916796,,0.8386911,,-0.24246289,,-2.0388362
159,1158,7Networks_LH_Default_Temp_10,205.0,62.0,82.0,0.0,-52.0,-43.0,5.0,Default,LH,1.0,0.027565868571400642,-0.04205667899389352,,,0.44258088,-0.9252727910504873,,,-0.18994442,,-1.38758,,-0.41997287,,1.3955727,,-2.7479653
160,1159,7Networks_LH_Default_Par_1,205.0,62.0,83.0,0.0,-59.0,-49.0,16.0,Default,LH,1.0,0.04890799522399902,-0.04205667899389352,,,0.085504025,0.32859286502304286,,,0.11329814,,-0.8908398,,0.3223808,,1.3751166,,-2.570582
161,1160,7Networks_LH_Default_Par_2,205.0,62.0,84.0,0.0,-45.0,-58.0,21.0,Default,LH,1.0,0.06168261915445328,-0.04205667899389352,,,0.011269302,-0.6140006240275545,,,0.1861041,,-1.3061892,,-1.8641491,,2.999427,,-1.6664954
162,1161,7Networks_LH_Default_Par_3,205.0,62.0,85.0,0.0,-40.0,-79.0,30.0,Default,LH,1.0,-0.017013581469655037,-0.04205667899389352,,,-0.15639335,-0.3292887940269011,,,1.688261,,-0.13137187,,-1.0519155,,1.0267663,,-0.68788415
163,1162,7Networks_LH_Default_Par_4,205.0,62.0,86.0,0.0,-47.0,-64.0,31.0,Default,LH,1.0,0.12375690788030624,-0.04205667899389352,,,0.37791857,-0.5137626088343555,,,0.7101711,,-0.8273152,,-1.1445148,,2.5685275,,-1.5157698
164,1163,7Networks_LH_Default_Par_5,205.0,63.0,79.0,0.0,-57.0,-55.0,30.0,Default,LH,1.0,-0.18704795837402344,-0.04205667899389352,,,-0.059762895,-0.21877032371073535,,,0.51556337,,-0.7862192,,-0.012978521,,1.5422292,,-2.0372772
165,1164,7Networks_LH_Default_Par_6,205.0,63.0,80.0,0.0,-41.0,-72.0,43.0,Default,LH,1.0,0.061189521104097366,-0.04205667899389352,,,0.39561772,-0.07871939105921784,,,1.9931939,,0.19355062,,-0.46376893,,0.51837695,,-0.7723284
166,1165,7Networks_LH_Default_Par_7,205.0,63.0,81.0,0.0,-49.0,-60.0,47.0,Default,LH,1.0,-0.053018778562545776,-0.04205667899389352,,,0.12448314,0.31110631990844967,,,1.3460644,,0.1688867,,-0.39193696,,1.3999444,,-1.1346679
167,1166,7Networks_LH_Default_PFC_1,205.0,63.0,71.0,0.0,-36.0,22.0,-16.0,Default,LH,1.0,0.02191062457859516,-0.04205667899389352,,,-2.5845203,-0.20954346657886505,,,-1.7512338,,0.07079994,,-0.466793,,1.3509626,,-0.35253555
168,1167,7Networks_LH_Default_PFC_2,205.0,63.0,72.0,0.0,-36.0,37.0,-13.0,Default,LH,1.0,0.018914977088570595,-0.04205667899389352,,,-1.3382189,0.705363520168535,,,-2.0374248,,-0.5644204,,-0.7373897,,2.0300608,,-0.77162665
169,1168,7Networks_LH_Default_PFC_3,205.0,63.0,73.0,0.0,-5.0,55.0,-10.0,Default,LH,1.0,-0.2528012692928314,-0.04205667899389352,,,-3.701394,1.1886740017112158,,,-1.9621764,,-0.1362856,,-0.8746347,,0.4529731,,-0.21519586
170,1169,7Networks_LH_Default_PFC_4,205.0,63.0,74.0,0.0,-6.0,35.0,-9.0,Default,LH,1.0,-0.31794124841690063,-0.04205667899389352,,,-2.774422,-0.32120318390908664,,,-1.7916529,,0.08801356,,-0.79511267,,0.49744782,,0.26835725
171,1170,7Networks_LH_Default_PFC_5,205.0,63.0,75.0,0.0,-46.0,32.0,-10.0,Default,LH,1.0,0.060871075838804245,-0.04205667899389352,,,-2.8892536,-0.3738766702142174,,,-1.763557,,0.07324709,,-0.6384002,,0.91283435,,-0.5625885
172,1171,7Networks_LH_Default_PFC_6,205.0,63.0,76.0,0.0,-28.0,58.0,-1.0,Default,LH,1.0,-0.10599370300769806,-0.04205667899389352,,,-2.225455,0.14695607795072,,,-2.0852013,,0.0052493764,,-0.3817108,,0.42839393,,-0.13764031
173,1172,7Networks_LH_Default_PFC_7,205.0,63.0,77.0,0.0,-48.0,28.0,0.0,Default,LH,1.0,-0.0019940852653235197,-0.04205667899389352,,,-0.6136028,0.8015301965525418,,,-1.7925897,,-0.09582868,,-0.79830116,,1.0477066,,-0.41387507
174,1173,7Networks_LH_Default_PFC_8,205.0,63.0,82.0,0.0,-6.0,59.0,7.0,Default,LH,1.0,-0.22995153069496155,-0.04205667899389352,,,-2.9491992,1.0978849620477857,,,-2.2408972,,0.42931765,,-0.43510646,,1.1912957,,0.23543365
175,1174,7Networks_LH_Default_PFC_9,205.0,63.0,83.0,0.0,-6.0,45.0,6.0,Default,LH,1.0,-0.11267617344856262,-0.04205667899389352,,,-3.0495546,-0.15622224031537083,,,-2.1616387,,0.6640911,,-0.24691777,,0.43878487,,0.22626305
176,1175,7Networks_LH_Default_PFC_10,205.0,63.0,84.0,0.0,-53.0,19.0,11.0,Default,LH,1.0,0.0679975152015686,-0.04205667899389352,,,-0.991289,-0.1753125087222492,,,-1.4054301,,0.08503185,,-0.9594269,,1.1605737,,-0.44322768
177,1176,7Networks_LH_Default_PFC_11,205.0,63.0,85.0,0.0,-16.0,67.0,8.0,Default,LH,1.0,-0.17902640998363495,-0.04205667899389352,,,-2.5071564,-0.022421490894050364,,,-2.0897095,,0.17293301,,-0.32474488,,0.7139233,,0.0314463
178,1177,7Networks_LH_Default_PFC_12,205.0,64.0,78.0,0.0,-5.0,34.0,21.0,Default,LH,1.0,-0.13732393085956573,-0.04205667899389352,,,-2.7305217,-0.4139682546145816,,,-1.7980185,,0.56805694,,-0.0055454494,,0.032508653,,0.48300508
179,1178,7Networks_LH_Default_PFC_13,205.0,64.0,79.0,0.0,-4.0,51.0,28.0,Default,LH,1.0,-0.16416598856449127,-0.04205667899389352,,,-2.0847166,1.09277253955044,,,-1.9819409,,0.35517398,,-0.08304213,,0.21970433,,0.57405716
180,1179,7Networks_LH_Default_PFC_14,205.0,64.0,80.0,0.0,-14.0,58.0,31.0,Default,LH,1.0,-0.27490317821502686,-0.04205667899389352,,,-1.6506726,-0.37525960950516635,,,-1.8909423,,0.34232542,,-0.21656397,,0.32414195,,0.57727444
181,1180,7Networks_LH_Default_PFC_15,205.0,64.0,81.0,0.0,-22.0,51.0,31.0,Default,LH,1.0,-0.2935953438282013,-0.04205667899389352,,,-0.94889474,-0.8320946044734324,,,-1.580691,,0.23423478,,-0.39416394,,0.44976255,,0.14737102
182,1181,7Networks_LH_Default_PFC_16,205.0,64.0,82.0,0.0,-25.0,28.0,43.0,Default,LH,1.0,-0.1361231505870819,-0.04205667899389352,,,-0.5779054,0.9508999271706768,,,-1.0194175,,0.4129901,,-0.6051677,,1.1312314,,0.62489647
183,1182,7Networks_LH_Default_PFC_17,205.0,64.0,83.0,0.0,-41.0,19.0,48.0,Default,LH,1.0,0.06482838839292526,-0.04205667899389352,,,-0.67181104,0.18239217474448163,,,-0.64419293,,0.47796592,,-1.3594575,,1.5607815,,0.3591899
184,1183,7Networks_LH_Default_PFC_18,205.0,64.0,84.0,0.0,-8.0,43.0,51.0,Default,LH,1.0,-0.09365245699882507,-0.04205667899389352,,,-1.6457442,0.8247840552126904,,,-1.5650539,,0.5419479,,-0.26163268,,0.78422004,,0.1278026
