subject,Cont,SalVentAttn,DorsAttn,Default,SomMot,Limbic,Vis
PNC009,0.36627048270621604,0.4658394305023488,0.36908726765148625,0.33547702536084884,0.3993227020654586,0.35955445341444825,0.3710187353629977
PNC018,0.3917892145180904,0.49269514517640034,0.3397731546199374,0.42002425027432494,0.5587854343185813,0.19991405597930736,0.5043947386985654
PNC019,0.400734674312545,0.4261665124112629,0.3138320665989157,0.371112944192003,0.4142260852658143,0.43733346870303624,0.3089148933545202
PNC022,0.3866508519907018,0.5100793563952719,0.3509732373915302,0.3690869849605782,0.5754118771727683,0.42909606487356905,0.42520980164696826
PNC024,0.33696793987518026,0.5648376670940681,0.3600099623294256,0.38112612779948835,0.591798230020219,0.40837316704896803,0.4296142680304617
PNC025,0.22399804449988356,0.41864940779426063,0.03193727862780891,0.2747469485455389,0.2809426356023106,0.2808978469995419,0.16990398221367944
PNC026,0.39253845975768686,0.3610448984987352,0.32244089048851565,0.3419187833860731,0.3558257249219928,0.2565628336518581,0.37310729304310775
PNC029,0.2844548634894783,0.42700672577741805,0.3225603599655615,0.3314218382128032,0.3680645890984284,0.1388834124498414,0.3292579342319922
PNC030,0.2234131647645025,0.5071666597145943,0.3212959660619949,0.32637748599424937,0.5489233815591414,0.31626714896058505,0.2887568358971589
PNC037,0.13202934884297307,0.4006516409208252,0.16692508695870367,0.25870400588662495,0.4219663563141497,0.28892656154264795,0.29080455388520576
PNC038,0.37690085913998844,0.39955123868802106,0.3860322111187775,0.3590855007717957,0.3742093906901823,0.33927939308876104,0.32050357140484537
PNC039,0.1176429414752587,0.4713058954178589,0.2994557685170979,0.2252968392205797,0.40634849384152877,0.28036899262510584,0.3686733668007875
PNC040,0.25446353795726495,0.4251970912529025,0.2576989662431094,0.2678285791042656,0.2932995750667357,0.06477180563901387,0.25452788144308863
PNC041,0.3025218597949993,0.30994100007879016,0.23381880414460993,0.31853180211693377,0.24408807688873316,0.22298105335730636,0.36819100982493386
PNC046,0.15630383242616827,0.4622077484776473,0.20910793163743818,0.24187647922310415,0.31855696627838664,0.27279741884605985,0.36995061974052545
PNC047,0.34336416832008104,0.30903041964925687,0.18833418245808092,0.4114748309556217,0.40758106207569855,0.15955389386621777,0.30083787001978124
PNC048,0.4567538970421018,0.5393074808933876,0.278368631383692,0.37703723943463235,0.43072222552780404,0.4082386425980931,0.3845798715692511
PNC049,0.3152928007364446,0.4173166249844586,0.19433047632284312,0.34241460355869147,0.3597897609760075,0.228978718229931,0.26733656605200523
PNC050,0.28426966292134825,0.477530680301595,0.2977152520909224,0.35533143040406884,0.5136122616784318,0.19835384144980953,0.3357676535337121
