network,measure,n,r_group,ci_low,ci_high,t,p,p_moran,q_moran,p_topo,q_topo
Cont,GD,19,0.3930037943868414,0.38816950315039894,0.39781645809990746,152.96677591917188,1.73829776229194e-29,0.23376623376623376,0.4825174825174825,,
SalVentAttn,GD,19,0.2526894013528998,0.24775248950155845,0.25761319038076963,103.03154982363048,2.1182267181489944e-26,0.027972027972027972,0.1958041958041958,,
DorsAttn,GD,19,0.29929512264447683,0.28724853979645376,0.3112470407696499,49.213083976027605,1.204430390092596e-20,0.1038961038961039,0.36363636363636365,,
Default,GD,19,0.17853959071139588,0.1731851247600819,0.18388350285474228,68.62193138419984,3.127720216244615e-23,0.4005994005994006,0.5608391608391609,,
SomMot,GD,19,-0.14014301964358766,-0.14841587467102285,-0.13185055111349667,-35.07962917129237,5.021288364827761e-18,0.2757242757242757,0.4825174825174825,,
Limbic,GD,19,-0.00012654302450743453,-0.007821484607290125,0.007568413544067693,-0.03454886788213408,0.9728197205193931,1.0,1.0,,
Vis,GD,19,0.07324651757640205,0.04389243325670335,0.1024742398145545,5.233386142517822,5.617905411013712e-05,0.6393606393606394,0.745920745920746,,
