mics,hemisphere,network,label,network_int,salience_border,t1_gradient1_SalVentAttn,T1map
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2031.0,RH,SomMot,7Networks_RH_SomMot_1,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2033.0,RH,SomMot,7Networks_RH_SomMot_3,5.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2167.0,RH,Default,7Networks_RH_Default_Temp_1,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2170.0,RH,Default,7Networks_RH_Default_Temp_4,1.0,1.0,,
2032.0,RH,SomMot,7Networks_RH_SomMot_2,5.0,1.0,,
2032.0,RH,SomMot,7Networks_RH_SomMot_2,5.0,1.0,,
2032.0,RH,SomMot,7Networks_RH_SomMot_2,5.0,1.0,,
