subject,Cont,SalVentAttn,DorsAttn,Default,SomMot,Limbic,Vis
PNC009,0.05465745384624812,0.15564674525128117,0.2059964590775222,-0.09496630825092031,-0.15080362665287103,0.057343938699870894,0.009022902291969108
PNC018,-0.1228202505927099,0.10408856416329594,0.105497124162139,-0.14734828288649904,-0.27874671509597615,0.010168566100769489,-0.23043173363795488
PNC019,0.34480083449197163,0.3281975855553266,0.16212286831655018,0.06706368407514238,-0.18686091346745423,0.039107057751125544,0.16993672417758354
PNC022,-0.02409758980525343,0.1076291639639226,0.12414014502789104,-0.10600386279505326,-0.16723486317861863,0.06457613237274254,0.04673191702458748
PNC025,-0.011555970743757311,0.07078938666399062,0.10061436429950515,-0.02632656522035596,-0.012030913897132033,-0.07180693790863282,0.07679706720580713
PNC026,-0.045859745975632506,0.16648528810496382,0.2277411429955676,-0.10599988830029967,0.258091870625133,0.006326202936372427,0.23242990293510354
PNC029,-0.06340831686727792,0.06695990306594456,0.15345611670298942,-0.1358989581923951,-0.17920591064441077,-0.02106821767838717,0.15316892385864203
PNC030,0.04894374396566163,0.06001758370547073,0.23263257652809932,-0.16739190199036488,-0.04776942972455931,-0.1017828305963899,-0.013021929839823783
PNC037,-0.02825997257397469,0.17291666036949963,0.1639176984375623,-0.09296331906386905,-0.013434858132702933,0.0973842872147957,0.32443671959054515
PNC038,0.10014461985540737,0.07533100428832039,0.082521088892519,0.007155398469745339,-0.1192199832382603,-0.00037433427263935736,0.3384445068000472
PNC039,0.07740934364101593,0.07717360574172669,0.15910959409083525,-0.16542977435743045,0.004148005317671821,-0.022519746248559805,0.12720106666042408
PNC040,-0.07676999315030253,-0.011358235455206589,-0.0717450866241478,-0.08725397687144677,-0.15758665908114566,0.02984170611289255,0.2744563884949484
PNC041,-0.009380953483336714,0.14961774684743667,0.10479331780471068,-0.04510258598470947,-0.19278730268510738,0.044574466608364914,0.16162979531369173
PNC046,-0.040067598207367446,0.16179076518942181,0.10243882945933508,-0.12801760537198642,-0.18324862767884517,0.05066098455928964,-0.044074677301847054
PNC047,0.006784332576643757,0.17989686348688955,0.3204456366380774,-0.09400213798926521,-0.04846513750163282,-0.009638760486218112,0.2271503403424335
PNC048,0.10273497662523712,0.10338610258558657,0.10501263774355718,-0.16336231090086978,-0.06827442513802862,0.10565619548670395,-0.05768896779297968
PNC049,0.1877433991657804,0.19113423363678628,0.08698534418257994,-0.04368671322304448,-0.15893381523837258,0.012787517872263635,-0.20805726743477942
PNC050,-0.15804349217459512,0.13930328949900547,0.21258369833306526,-0.07443736351461056,-0.0020577390526233036,0.0727971422886677,0.029846712248120185
