network,measure,n,r_group,ci_low,ci_high,t,p,p_moran,q_moran
Cont,SC,19,0.5185849439419267,0.5096834923438215,0.5273753853971336,99.7324281563043,3.8015337383436686e-26,0.002997002997002997,0.01048951048951049
SalVentAttn,SC,19,0.3349805329424496,0.3258823930270992,0.34401663255699566,71.67252489509809,1.4334757086373188e-23,0.000999000999000999,0.006993006993006993
Default,SC,19,0.16772427620946226,0.15677429591356584,0.1786330271305527,31.63185356645911,3.142501640062962e-17,0.16383616383616384,0.3822843822843823
DorsAttn,SC,19,0.16390865043816144,0.14363642765814563,0.1840433720953674,16.735409401732465,2.0368150790849945e-12,0.2887112887112887,0.5052447552447552
Vis,SC,19,0.04897385592786363,0.022438827679545213,0.07543993226791998,3.875453692190081,0.0011084200001291301,0.6583416583416584,0.8071928071928072
SomMot,SC,19,-0.02058133070806314,-0.0364654461219565,-0.0046868185421331,-2.7203140165988766,0.014032429203309712,0.8071928071928072,0.8071928071928072
Limbic,SC,19,-0.03955184978360077,-0.0513593174669287,-0.027733326133889714,-7.0265674178917745,1.4765793828165943e-06,0.7752247752247752,0.8071928071928072
