subject,Cont,SalVentAttn,DorsAttn,Default,SomMot,Limbic,Vis
PNC009,0.377701579243374,0.24913079951452372,0.31192613089683063,0.17844870433325535,-0.15426757027018811,0.006528408223323477,0.2017141841667455
PNC018,0.3944582815293754,0.2466386931393524,0.28608375749988496,0.19346348658413787,-0.15382768869593477,0.009549457007084126,0.04862960645424777
PNC019,0.4122108453997404,0.2611815419857819,0.3139373897333901,0.17811765781150143,-0.12333145733191782,0.012122600258193476,0.1231379392049745
PNC022,0.40278045970593956,0.2687942426361936,0.27802116829790174,0.19768945988002293,-0.12788834542444374,0.01303784524123507,0.023250867345695984
PNC024,0.40607035715112505,0.26304203746905075,0.32933945253860775,0.17307945864179994,-0.11733906650387704,-0.02493094018517747,0.07415295590337609
PNC025,0.3797642505709216,0.24730036922557344,0.2793988362000157,0.1637118478029311,-0.11660665528723703,-0.0017282305417898635,0.01762727687142468
PNC026,0.38999726284454456,0.23994189276518985,0.2779776966904374,0.17910319976694936,-0.13641697621694612,-0.0022552598823785265,0.04112359031609756
PNC029,0.3944010872362764,0.25219470880791306,0.30506835574685365,0.1836056620308688,-0.15171445318160914,0.014859543673102995,7.86518915522886e-05
PNC030,0.3930602895937707,0.26132219550880004,0.290895785649661,0.17401305887013427,-0.1373447013967456,-0.008034999560423289,0.005035777317949145
PNC037,0.3999622790019323,0.27442151200925174,0.34678550695845173,0.19757756496878762,-0.12882328213049235,0.013253931897999694,0.08846803514367395
PNC038,0.3888242351284624,0.2398353346233962,0.32679982264410223,0.17375713732681689,-0.13644659729192765,-0.040195819856836804,0.1522841790514068
PNC039,0.39410912398769504,0.2474819694475561,0.31147685544771525,0.180433882474073,-0.17529933000400488,0.0006644549017430372,0.10634645236866755
PNC040,0.3975044223444485,0.25473300112502667,0.2840813788491734,0.170519251537047,-0.1322038518935918,-0.0005187005187005186,0.09865442391384467
PNC041,0.40426043012831947,0.2559564046622008,0.3168813778578969,0.18122935924917338,-0.15451517318038985,0.006617248990130344,0.18015723893187172
PNC046,0.3858103682359237,0.256095043091766,0.2539718696363936,0.17160803665483643,-0.12848177869044367,-0.03207845750218631,0.07820085913647894
PNC047,0.40114701793041085,0.2436838407036384,0.3243582878258228,0.18966657131913617,-0.1285544751804238,0.005704780281051466,0.05897666019946974
PNC048,0.38068725752002824,0.25768874020186,0.2782532922256452,0.16616268993024075,-0.13244198294842152,0.012640375352239759,-0.012102624070689742
PNC049,0.383423732091037,0.24472056598332836,0.26166985492874073,0.1558064762283731,-0.15306376203323882,-0.0003549003549003549,0.024489367719460527
PNC050,0.3800605714799295,0.23642523227478462,0.3060134759917981,0.183849542963361,-0.17337219492079506,0.01274726189980427,0.07580073082594213
