network,measure,n,r_group,ci_low,ci_high,t,p,p_moran,q_moran,p_topo,q_topo
Cont,MPC,19,0.3052575590744671,0.25817064718353444,0.35089762322363777,12.948364151514143,1.4692647420695017e-10,0.000999000999000999,0.000999000999000999,,
SalVentAttn,MPC,19,0.4438106077261134,0.4099347682281576,0.47646377479000707,24.18508747322476,3.5425503975935114e-15,0.000999000999000999,0.000999000999000999,,
DorsAttn,MPC,19,0.277884770885084,0.23580943435993837,0.3189202269769147,13.307339365068387,9.387400355613339e-11,0.000999000999000999,0.000999000999000999,,
Default,MPC,19,0.33310612561423447,0.3062538346941731,0.35942875100560445,24.324461529661964,3.203781291334505e-15,0.000999000999000999,0.000999000999000999,,
SomMot,MPC,19,0.4192194739502418,0.3672994048103776,0.4685350158233057,15.274573172299576,9.512098934834863e-12,0.000999000999000999,0.000999000999000999,,
Limbic,MPC,19,0.28153407824824195,0.23084036304034866,0.3307034820570878,11.201234471859156,1.5170009314761942e-09,0.000999000999000999,0.000999000999000999,,
Vis,MPC,19,0.3421063571394671,0.3056528295135091,0.3775584336463305,18.386304060264788,4.0942678651270785e-13,0.000999000999000999,0.000999000999000999,,
